feature	RandomForest(n=200, p=1.0)
ThicknessThreshold=0.02-SUMMARYCustomAlgos.tsv_q25.txt	0.0006887632947994178
counts(Norminten<0.060000000000000005Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0006876582798931278
ThicknessThreshold=0.02-SUMMARYCustomAlgos.tsv_q75.txt	0.0006854477171684706
counts(Norminten<0.02-SUMMARYCustomAlgos.tsv_mean.txt	0.0006838833290659304
minPropNormalized-SUMMARYCustomAlgos.tsv_var.txt	0.0006835934828633805
counts(Norminten<0.06999999999999999Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0006823670557950242
counts(inten<0.09-SUMMARYCustomAlgos.tsv_std.txt	0.0006819798708891061
counts(Norminten<0.06999999999999999-SUMMARYCustomAlgos.tsv_q25.txt	0.0006795115068629222
counts(Norminten<0.27-SUMMARYCustomAlgos.tsv_var.txt	0.0006789878462359186
counts(Norminten<0.13-SUMMARYCustomAlgos.tsv_std.txt	0.000672285215266006
counts(inten<0.24000000000000002-SUMMARYCustomAlgos.tsv_median.txt	0.0006722053722876026
SubstratumCoverage-SUMMARYCustomAlgos.tsv_q75.txt	0.0006691802738774136
counts(inten<0.04-SUMMARYCustomAlgos.tsv_mean.txt	0.0006685121517593141
counts(Norminten<0.08Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0006658969671509156
counts(Norminten<0.01Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.0006652843154523786
counts(Norminten<0.01-SUMMARYCustomAlgos.tsv_q90.txt	0.0006623556198174754
counts(Norminten<0.04Normalized-SUMMARYCustomAlgos.tsv_q10.txt	0.0006611267921952156
counts(Norminten<0.02Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0006606566144886754
counts(Norminten<0.09-SUMMARYCustomAlgos.tsv_median.txt	0.000657885340628352
counts(Norminten<0.28Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0006558030820527143
min-SUMMARYCustomAlgos.tsv_q25.txt	0.0006540463822707497
counts(Norminten<0.17-SUMMARYCustomAlgos.tsv_max.txt	0.0006496908558931251
counts(Norminten<0.03-SUMMARYCustomAlgos.tsv_q10.txt	0.0006482629816103979
counts(Norminten<0.05Normalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0006463146481554108
counts(Norminten<0.13Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0006458237022568161
counts(inten<0.09999999999999999-SUMMARYCustomAlgos.tsv_min.txt	0.0006424551108827382
counts(Norminten<0.03-SUMMARYCustomAlgos.tsv_mean.txt	0.0006395763442199479
counts(inten<0.09999999999999999-SUMMARYCustomAlgos.tsv_var.txt	0.0006375926225493394
counts(inten<0.03-SUMMARYCustomAlgos.tsv_q25.txt	0.0006306585208444923
counts(Norminten<0.2Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.0006289942595898603
BioVolume-SUMMARYCustomAlgos.tsv_q90.txt	0.000628847231041136
counts(Norminten<0.03-SUMMARYCustomAlgos.tsv_median.txt	0.0006271833116423147
counts(Norminten<0.09999999999999999Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0006155797722048244
ThicknessThreshold=0.02-SUMMARYCustomAlgos.tsv_median.txt	0.000614339551166602
counts(Norminten<0.27-SUMMARYCustomAlgos.tsv_std.txt	0.0006142099111347558
counts(Norminten<0.13-SUMMARYCustomAlgos.tsv_var.txt	0.000610000921942794
medNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0006088157156843882
counts(Norminten<0.24000000000000002-SUMMARYCustomAlgos.tsv_q75.txt	0.0006081170104199696
counts(inten<0.12Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0006061686496105366
counts(inten<0.02Normalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0006059618945261539
counts(Norminten<0.02-SUMMARYCustomAlgos.tsv_std.txt	0.0006037888273836594
min-SUMMARYCustomAlgos.tsv_median.txt	0.0005965992869021492
counts(Norminten<0.060000000000000005-SUMMARYCustomAlgos.tsv_q10.txt	0.0005944742345468291
counts(inten<0.09Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.0005899257031018096
counts(Norminten<0.01-SUMMARYCustomAlgos.tsv_q10.txt	0.0005854516813512213
counts(Norminten<0.11-SUMMARYCustomAlgos.tsv_var.txt	0.0005790982059055562
counts(inten<0.05-SUMMARYCustomAlgos.tsv_std.txt	0.0005771419168061873
counts(Norminten<0.01-SUMMARYCustomAlgos.tsv_q25.txt	0.0005766562973060742
counts(inten<0.06999999999999999-SUMMARYCustomAlgos.tsv_q75.txt	0.0005763888165463509
diff-SUMMARYCustomAlgos.tsv_q25.txt	0.0005763564067287339
counts(inten<0.09999999999999999Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0005758638167787799
counts(inten<0.02Normalized-SUMMARYCustomAlgos.tsv_min.txt	0.0005752977315851208
counts(inten<0.09999999999999999Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.0005729195231905311
counts(Norminten<0.29000000000000004Normalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0005719727099889118
counts(Norminten<0.04-SUMMARYCustomAlgos.tsv_median.txt	0.0005661932479876799
counts(Norminten<0.03-SUMMARYCustomAlgos.tsv_std.txt	0.0005650443144304006
counts(Norminten<0.27-SUMMARYCustomAlgos.tsv_q75.txt	0.0005625455855835055
counts(inten<0.08Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.0005591807336065912
counts(Norminten<0.2Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0005515720147982363
meanNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.0005511017152178669
counts(Norminten<0.09-SUMMARYCustomAlgos.tsv_var.txt	0.0005485459507315078
SubstratumCoverage-SUMMARYCustomAlgos.tsv_min.txt	0.0005475455886324548
counts(Norminten<0.14-SUMMARYCustomAlgos.tsv_median.txt	0.0005438519844656426
counts(Norminten<0.09999999999999999-SUMMARYCustomAlgos.tsv_var.txt	0.0005394692537474841
counts(inten<0.08-SUMMARYCustomAlgos.tsv_mean.txt	0.0005376312749633219
min-SUMMARYCustomAlgos.tsv_mean.txt	0.0005373166295253147
counts(inten<0.05Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0005362837236343819
counts(inten<0.22-SUMMARYCustomAlgos.tsv_median.txt	0.0005357473533217443
counts(Norminten<0.06999999999999999Normalized-SUMMARYCustomAlgos.tsv_q10.txt	0.0005348082092012263
counts(Norminten<0.17Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0005338414935543418
counts(inten<0.05-SUMMARYCustomAlgos.tsv_mean.txt	0.0005328789374008933
minPropNormalized-SUMMARYCustomAlgos.tsv_q10.txt	0.0005307661312934714
counts(Norminten<0.16Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0005304908981134665
counts(inten<0.09-SUMMARYCustomAlgos.tsv_max.txt	0.000527199531546218
counts(inten<0.03Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0005222035405558878
maxNormalized-SUMMARYCustomAlgos.tsv_q25.txt	0.0005183116629228162
counts(inten<0.08Normalized-SUMMARYCustomAlgos.tsv_max.txt	0.0005180879648471496
counts(Norminten<0.01Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0005171054700936311
counts(inten<0.09-SUMMARYCustomAlgos.tsv_var.txt	0.0005162413548519922
counts(inten<0.16-SUMMARYCustomAlgos.tsv_q75.txt	0.0005150285885460786
counts(inten<0.09Normalized-SUMMARYCustomAlgos.tsv_var.txt	0.0005136395839508549
counts(Norminten<0.27-SUMMARYCustomAlgos.tsv_max.txt	0.0005112037665851618
counts(inten<0.08-SUMMARYCustomAlgos.tsv_q25.txt	0.0005107439732515864
meanNormalized-SUMMARYCustomAlgos.tsv_var.txt	0.0005094419701551342
std-SUMMARYCustomAlgos.tsv_q25.txt	0.0005086589125996867
counts(Norminten<0.04-SUMMARYCustomAlgos.tsv_var.txt	0.0005085692910489987
ThicknessThreshold=0.04-SUMMARYCustomAlgos.tsv_min.txt	0.0005063730483300427
counts(Norminten<0.25Normalized-SUMMARYCustomAlgos.tsv_median.txt	0.0005013016033024846
counts(Norminten<0.060000000000000005Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0004995719655223476
diff-SUMMARYCustomAlgos.tsv_max.txt	0.0004990541112994034
counts(inten<0.14Normalized-SUMMARYCustomAlgos.tsv_q75.txt	0.0004927488094901043
counts(Norminten<0.09999999999999999-SUMMARYCustomAlgos.tsv_std.txt	0.0004911149910347759
counts(inten<0.14-SUMMARYCustomAlgos.tsv_q75.txt	0.0004898137352557419
diffNormalized-SUMMARYCustomAlgos.tsv_q90.txt	0.0004891117745471554
