	Unnamed: 0	globalMean	mdiffs	maxdiffs	mindiffs	eigen	sampleName
0	0	752.7106949942453	-67.73961548805237	-25.172898292541504	-197.886531829834	1.0	18072023--s--Lm--st--L1323--p--B08--pos003--tm--24--ch--Syto9--z--21
0	0	725.779776527768	-47.95784878730774	23.42455673217773	-132.13300132751465	1.0	14112023--s--Lm--st--19115--p--F07--pos002--tm--24--ch--Syto9--z--21
0	0	428.17809404645647	-23.628366565704347	27.272628784179688	-47.84134769439697	1.0	30052023--s--Lm--st--L1764--p--G04--pos004--tm--24--ch--Syto9--z--21
0	0	135.36774853297644	-22.008218860626226	-0.9734258651733398	-66.9808988571167	1.0	23052023--s--Lm--st--19115--p--F08--pos001--tm--24--ch--Syto9--z--21
0	0	295.59949493408203	-15.956411409378052	52.438507080078125	-59.252259254455566	1.0	16052023--s--Lm--st--L455--p--G03--pos003--tm--24--ch--Syto9--z--21
0	0	1191.0710712160385	-42.51970076560974	93.20514392852785	-73.94730758666992	1.0	14112023--s--Lm--st--L1764--p--F02--pos004--tm--24--ch--Syto9--z--21
0	0	182.54784202575684	-25.070339250564576	-1.7078866958618164	-84.27886867523193	1.0	23052023--s--Lm--st--19115--p--F06--pos004--tm--24--ch--Syto9--z--21
0	0	486.5356617428008	-62.1643696308136	-8.923921585083008	-163.00396251678467	1.0	13062023--s--Lm--st--L634--p--C08--pos001--tm--24--ch--Syto9--z--21
0	0	238.9588165283203	-27.4937481880188	-3.8053131103515625	-58.80791091918945	1.0	04072023--s--Lm--st--L1323--p--C07--pos002--tm--24--ch--Syto9--z--21
0	0	257.8456010364351	-25.454356718063355	-6.654733657836914	-81.88682651519775	1.0	23052023--s--Lm--st--L628--p--C09--pos002--tm--24--ch--Syto9--z--21
